h3_polyfill,index,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,geometry,LAT,LONG,opt_tilt
83445cfffffffff,0,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,"POLYGON ((-89.7794734704032 31.59073781085478, -89.29740992250284 32.062053651248206, -89.53187646021644 32.678724939624104, -90.25697589361646 32.82559032395142, -90.74237144889806 32.35169080962794, -90.49938240180009 31.733531031459837, -89.7794734704032 31.59073781085478))",32.20791695,-90.01870095,29
832a89fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-78.38960204211892 36.80737026208428, -79.02121654991561 36.4766926896766, -78.94137591454216 35.912258542415614, -78.2452152684179 35.67671974864088, -77.61868280728876 35.99919217524387, -77.68316385354365 36.56531355829965, -78.38960204211892 36.80737026208428))",36.24153281,-78.31651836,32
832ad4fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-77.61868280728876 35.99919217524387, -78.2452152684179 35.67671974864088, -78.17548888597466 35.11887587217337, -77.49411172725455 34.88199209036301, -76.87287932368407 35.19646301603436, -76.92767041505323 35.75572536137912, -77.61868280728876 35.99919217524387))",35.44005905,-77.55566727,32
832af2fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-77.04114526173694 36.88932098886056, -77.68316385354365 36.56531355829965, -77.61868280728876 35.99919217524387, -76.92767041505323 35.75572536137912, -76.29144346808987 36.0716675289531, -76.34038735069178 36.63904459260989, -77.04114526173694 36.88932098886056))",36.32199047,-76.98375374,32
8344dafffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-80.25814499659049 35.81108208756663, -80.86354120190414 35.47650247165217, -80.76455087463756 34.9227198984385, -80.07459993914985 34.701196818468055, -79.47314411483413 35.027552646866425, -79.55761808651526 35.58356677506038, -80.25814499659049 35.81108208756663))",35.25565518,-80.16520401,31
832ad6fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-78.94137591454216 35.912258542415614, -79.55761808651526 35.58356677506038, -79.47314411483413 35.027552646866425, -78.7871080475184 34.79830903505103, -78.17548888597466 35.11887587217337, -78.2452152684179 35.67671974864088, -78.94137591454216 35.912258542415614))",35.35477267,-78.86328985,32
8344dbfffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-81.06844866997488 36.59871874543619, -81.67748863508325 36.25573182193218, -81.56764955347069 35.695928634623314, -80.86354120190414 35.47650247165217, -80.25814499659049 35.81108208756663, -80.35312006833854 36.37340642995809, -81.06844866997488 36.59871874543619))",36.03715505,-80.96465057,33
8344d9fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-82.39602229976812 36.472582946154155, -82.99298425130044 36.123995835616405, -82.80355548326628 35.52352756897824, -82.12783028540213 35.333392720449055, -81.96464809527943 35.46926879613514, -81.56764955347069 35.695928634623314, -81.67748863508325 36.25573182193218, -82.39602229976812 36.472582946154155))",35.90904482,-82.2711316,31
832a8bfffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-79.7325133981091 36.7104174221686, -80.35312006833854 36.37340642995809, -80.25814499659049 35.81108208756663, -79.55761808651526 35.58356677506038, -78.94137591454216 35.912258542415614, -79.02121654991561 36.4766926896766, -79.7325133981091 36.7104174221686))",36.14650571,-79.6439449,32
832af3fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-76.29144346808987 36.0716675289531, -76.92767041505323 35.75572536137912, -76.87287932368407 35.19646301603436, -76.19689970896388 34.95204734757291, -75.56663990889064 35.26013569476644, -75.6063534040535 35.820397914859804, -76.29144346808987 36.0716675289531))",35.51130752,-76.24366826,31
832ad0fffffffff,1,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,"POLYGON ((-78.17548888597466 35.11887587217337, -78.7871080475184 34.79830903505103, -78.71256036996262 34.24887557199371, -78.04069635615971 34.018352969650344, -77.43392342080651 34.33099323204823, -77.49411172725455 34.88199209036301, -78.17548888597466 35.11887587217337))",34.56808264,-78.1072962,31
8326ebfffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-95.0175072313011 34.24608056480459, -94.5268636756586 34.73630623236728, -94.80734076683471 35.348769221142916, -95.58685647554313 35.47147276308672, -96.07918187257589 34.97867156983966, -95.79039001375904 34.36576408863895, -95.0175072313011 34.24608056480459))",34.85871227,-95.30195969,33
8326d4fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-101.9931329551529 36.278414873038784, -101.50984190904657 36.79573890099952, -101.84537674149988 37.3929432826263, -102.67135684070738 37.47197316662981, -103.15358439412798 36.95224132751914, -102.81101305686792 36.3559037770836, -101.9931329551529 36.278414873038784))",36.87540276,-102.3310089,35
8326e8fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-94.80734076683471 35.348769221142916, -94.3114299838499 35.83281094950082, -94.59315893467407 36.44201636440428, -95.37939994227249 36.567701663100124, -95.87710507147547 36.08117782731673, -95.58685647554313 35.47147276308672, -94.80734076683471 35.348769221142916))",35.95819022,-95.09316187,34
8326eefffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-95.87710507147547 36.08117782731673, -95.37939994227249 36.567701663100124, -95.67110028492269 37.173823956969365, -96.46904184547843 37.29373152652242, -96.96815321456646 36.804750780301475, -96.6680060353176 36.19834106591893, -95.87710507147547 36.08117782731673))",36.6874526,-96.1727044,36
8326c3fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-98.62272599746812 34.18804644137447, -98.13903068922362 34.69772079897264, -98.44545303049377 35.307640466109966, -99.24327512809141 35.407621943638, -99.72727821439909 34.895332297549636, -99.41324934807534 34.28569604325331, -98.62272599746812 34.18804644137447))",34.79788171,-98.93228317,33
8326ccfffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-96.27743708571964 33.867039918810235, -95.79039001375904 34.36576408863895, -96.07918187257589 34.97867156983966, -96.86314528739004 35.093055453019566, -97.35139482679675 34.591699254874385, -97.05456444962542 33.97861235156145, -96.27743708571964 33.867039918810235))",34.48001119,-96.5699023,33
8326c6fffffffff,2,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,"POLYGON ((-99.55936122810364 36.01383457923859, -99.06992307032374 36.52031233535238, -99.3880806830619 37.122712835426306, -100.2034246562154 37.218225485326386, -100.69279980327295 36.70926693447674, -100.36700120712757 36.10729552299554, -99.55936122810364 36.01383457923859))",36.61614157,-99.88050496,35
